Date,Title,positive_score,negative_score,neutral_score,prediction
2014-12-31,Kass' 15 surprises for 15,0.1366273761,0.1086653173,0.7547073364,neutral
2014-12-31,"T-Mobile's Legere fires shots at rivals, praises Apple Watch",0.0304727461,0.7022089362,0.267318368,negative
2015-01-03,"Poll: Only 5.4% of U.S. iPhone owners ""very likely"" to buy Apple Watch",0.1224125698,0.1194794625,0.7581079602,neutral
2015-01-05,Apple reports earnings on January 27,0.0323824883,0.057758376,0.9098591208,neutral
2015-01-06,"Report: Apple set to ship Watch in March, prepping new MacBook Air",0.4353291988,0.0279097222,0.5367611051,neutral
2015-01-07,Monster sues Beats over headphones acquisition,0.0247492436,0.8499575853,0.1252932101,negative
2015-01-08,Apple +3.3%; App Store revenue rose 50% in 2014,0.9540465474,0.0176229775,0.0283304993,positive
2015-01-13,Apple up 2.4% following Credit Suisse upgrade,0.9323682785,0.0365943909,0.0310373716,positive
2015-01-13,GoPro down 6% after Apple camera patent published,0.0089090001,0.9671639204,0.0239271596,negative
2015-01-14,GoPro bounces as analysts dismiss Apple patent,0.032021556,0.9248459339,0.043132484,negative
2015-01-14,"Ericsson, Apple trade legal salvos over 4G patents",0.0362828374,0.0684173927,0.8952997923,neutral
2015-01-15,"Apple falls towards $107 amid tech selloff, downgrade",0.0205273665,0.95445472,0.02501796,negative
2015-01-22,"Apple roundup: Cook's pay, board change, Apple Watch, Verizon",0.0386160649,0.0298583377,0.931525588,neutral
2015-01-26,Report: Samsung chosen as main chip supplier for next iPhone,0.3713293374,0.0103097688,0.618360877,neutral
2015-01-27,"USAT, OTIV rally after Apple Pay announcement",0.4778301418,0.4017502666,0.1204195768,positive
2015-01-27,Apple declares $0.47 dividend,0.0296087656,0.0626184866,0.9077727199,neutral
2015-01-27,"Apple beats estimates, guides in-line",0.2783001065,0.0288742594,0.6928256154,neutral
2015-01-27,"Apple's EPS lifted by $687 iPhone ASP, 39.9% gross margin",0.9538778663,0.0219084732,0.0242136698,positive
2015-01-27,Cook: Apple Watch to ship in April,0.1853502095,0.0150703341,0.7995794415,neutral
2015-01-28,"Apple +7.6%; Street applauds iPhone sales, China growth",0.9259738326,0.0204045847,0.0536215156,positive
