,Date,Close,Volume,Adj Close,^DJI_Close,^IXIC_Close,^GSPC_Close,^RLG_Close,^NYA_Close,^VIX_Close,DX-Y.NYB_Close,EURUSD=X_Close,GBPUSD=X_Close,GC=F_Close,SI=F_Close,CL=F_Close,WM1NS,WM2NS,ICSA,CCSA,JTSJOL,PAYEMS,RSXFS,TCU,UMCSENT,BUSINV,INDPRO,GACDFSA066MSFRBPHI,GACDISA066MSFRBNY,BACTSAMFRBDAL,IR,IQ,PPIACO,CPIAUCSL,CPILFESL,MICH,CSCICP03USM665S,Grow,News_Score
0,2015-01-02,27.332500457763672,212818400,24.565696716308597,17832.990234375,4726.81005859375,2058.199951171875,960.280029296875,10830.919921875,17.790000915527344,91.08000183105467,1.2089413404464722,1.557972073554993,1186.0,15.734000205993652,52.68999862670898,0.0,0.0,0.0,0.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,False,0.5
1,2015-01-05,26.5625,257142000,23.87364387512207,17501.650390625,4652.56982421875,2020.5799560546875,943.780029296875,10607.6796875,19.920000076293945,91.37999725341795,1.194643259048462,1.5284910202026367,1203.9000244140625,16.179000854492188,50.040000915527344,3030.2,11820.4,294000.0,2381000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,False,0.5003752950719917
2,2015-01-06,26.565000534057617,263188400,23.875886917114254,17371.640625,4592.740234375,2002.6099853515625,935.02001953125,10514.8701171875,21.1200008392334,91.5,1.193901538848877,1.5258322954177856,1219.300048828125,16.60300064086914,47.93000030517578,3030.2,11820.4,294000.0,2381000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,True,0.7195410044244775
3,2015-01-07,26.9375,160423600,24.210681915283203,17584.51953125,4650.47021484375,2025.9000244140625,946.8800048828124,10627.1298828125,19.309999465942383,91.88999938964844,1.1875356435775757,1.5137982368469238,1210.5999755859375,16.510000228881836,48.650001525878906,3030.2,11820.4,294000.0,2381000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,True,0.0747915974790434
4,2015-01-08,27.97249984741211,237458000,25.14090919494629,17907.869140625,4736.18994140625,2062.139892578125,964.1599731445312,10800.5400390625,17.010000228881836,92.37000274658205,1.1836000680923462,1.5107566118240356,1208.4000244140625,16.35099983215332,48.790000915527344,3030.2,11820.4,294000.0,2381000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,True,0.996246649358957
5,2015-01-09,28.002500534057617,214798000,25.167877197265625,17737.369140625,4704.06982421875,2044.81005859375,956.6599731445312,10711.41015625,17.549999237060547,91.94000244140624,1.1796069145202637,1.5087963342666626,1216.0,16.38599967956543,48.36000061035156,3030.2,11820.4,294000.0,2381000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,True,0.5
6,2015-01-12,27.3125,198603200,24.54772186279297,17640.83984375,4664.7099609375,2028.260009765625,948.97998046875,10640.740234375,19.600000381469727,91.9800033569336,1.187070369720459,1.5189489126205444,1232.699951171875,16.53499984741211,46.06999969482422,2839.0,11797.6,304000.0,2400000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,False,0.5
7,2015-01-13,27.55500030517578,268367600,24.765674591064453,17613.6796875,4661.5,2023.030029296875,948.0499877929688,10622.9599609375,20.559999465942383,92.30999755859376,1.1831519603729248,1.5170363187789917,1234.300048828125,17.125,45.88999938964844,2839.0,11797.6,304000.0,2400000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,True,0.4900915582037481
8,2015-01-14,27.450000762939453,195826400,24.67130279541016,17427.08984375,4639.31982421875,2011.27001953125,943.4199829101562,10565.419921875,21.479999542236328,92.16000366210938,1.1778285503387451,1.5170363187789917,1234.4000244140625,16.95599937438965,48.47999954223633,2839.0,11797.6,304000.0,2400000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,False,0.264523829407132
9,2015-01-15,26.70499992370605,240056000,24.0017147064209,17320.7109375,4570.81982421875,1992.6700439453125,933.52001953125,10514.599609375,22.38999938964844,92.3499984741211,1.178592085838318,1.5234380960464478,1264.699951171875,17.072999954223633,46.25,2839.0,11797.6,304000.0,2400000.0,5344.0,140562.0,385558.0,78.641,98.1,1790591.0,102.798,13.3,12.5,-4.5,126.0,126.1,192.0,234.747,239.811,2.5,101.143073613538,False,0.0179240521088452
